LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738309577.104731,95678.000,13235,3,PG,1,100,9500
1738309577.144732,95718.000,13235,3,PG,1,100,9517
1738309577.184733,95758.000,13250,2,PG,1,100,9496
1738309577.224734,95798.000,13250,2,PG,1,100,9501
1738309577.264735,95838.000,13267,3,PG,1,100,9508
1738309577.304736,95878.000,13267,3,PG,1,100,9512
1738309577.344737,95918.000,13267,3,PG,1,100,9516
1738309577.384738,95958.000,13284,3,PG,1,100,9508
1738309577.424739,95998.000,13284,3,PG,1,100,9514
1738309577.464740,96038.000,13284,3,PG,1,100,9520
1738309577.504741,96078.000,13301,2,PG,1,100,9509
1738309577.544742,96118.000,13301,2,PG,1,100,9499
1738309577.584742,96158.000,13315,3,PG,1,100,9508
1738309577.624743,96198.000,13315,3,PG,1,100,9506
1738309577.664744,96238.000,13315,3,PG,1,100,9507
1738309577.704745,96278.000,13332,2,PG,1,100,9515
1738309577.744746,96318.000,13332,2,PG,1,100,9509
1738309577.784747,96358.000,13351,3,PG,1,100,9515
1738309577.824748,96398.000,13351,3,PG,1,100,9515
1738309577.864749,96438.000,13351,3,PG,1,100,9498
1738309577.904750,96478.000,13368,2,PG,1,100,9515
1738309577.944751,96518.000,13368,2,PG,1,100,9502
1738309577.984752,96558.000,13382,3,PG,1,100,9516
1738309578.024753,96598.000,13382,3,PG,1,100,9510
1738309578.064754,96638.000,13382,3,PG,1,100,9502
1738309578.104755,96678.000,13400,2,PG,1,100,9511
1738309578.144756,96718.000,13400,2,PG,1,100,9513
1738309578.184757,96758.000,13416,3,PG,1,100,9517
1738309578.224758,96798.000,13416,3,PG,1,100,9521
1738309578.264759,96838.000,13416,3,PG,1,100,9519
1738309578.304760,96878.000,13433,2,PG,1,100,9523
1738309578.344760,96918.000,13433,2,PG,1,100,9518
1738309578.384761,96958.000,13448,3,PG,1,100,9519
1738309578.424762,96998.000,13448,3,PG,1,100,9511
1738309578.464763,97038.000,13448,3,PG,1,100,9517
1738309578.504764,97078.000,13465,3,PG,1,100,9508
1738309578.544765,97118.000,13465,3,PG,1,100,9511
1738309578.584766,97158.000,13465,3,PG,1,100,9508
1738309578.624767,97198.000,13481,2,PG,1,100,9520
1738309578.664768,97238.000,13481,2,PG,1,100,9523
1738309578.704769,97278.000,13500,3,PG,1,100,9508
1738309578.744770,97318.000,13500,3,PG,1,100,9518
1738309578.784771,97358.000,13500,3,PG,1,100,9512
1738309578.824772,97398.000,13515,2,PG,1,100,9503
1738309578.864773,97438.000,13515,2,PG,1,100,9516
1738309578.904774,97478.000,13532,3,PG,1,100,9516
1738309578.944775,97518.000,13532,3,PG,1,100,9507
1738309578.984776,97558.000,13532,3,PG,1,100,9511
1738309579.024777,97598.000,13548,2,PG,1,100,9508
1738309579.064778,97638.000,13548,2,PG,1,100,9501
1738309579.104779,97678.000,13566,3,PG,1,100,9505
1738309579.144779,97718.000,13566,3,PG,1,100,9533
1738309579.184780,97758.000,13566,3,PG,1,100,9523
1738309579.224781,97798.000,13581,2,PG,1,100,9502
1738309579.264782,97838.000,13581,2,PG,1,100,9521
1738309579.304783,97878.000,13597,3,PG,1,100,9508
1738309579.344784,97918.000,13597,3,PG,1,100,9502
1738309579.384785,97958.000,13597,3,PG,1,100,9516
1738309579.424786,97998.000,13614,2,PG,1,100,9521
1738309579.464787,98038.000,13614,2,PG,1,100,9510
1738309579.504788,98078.000,13631,3,PG,1,100,9504
1738309579.544789,98118.000,13631,3,PG,1,100,9517
1738309579.584790,98158.000,13631,3,PG,1,100,9505
1738309579.624791,98198.000,13654,2,PG,1,100,9512
1738309579.664792,98238.000,13654,2,PG,1,100,9505
1738309579.704793,98278.000,13670,3,PG,1,100,9504
1738309579.744794,98318.000,13670,3,PG,1,100,9517
1738309579.784795,98358.000,13670,3,PG,1,100,9509
1738309579.824462,98397.667,13686,3,PG,1,100,9536
1738309579.864130,98437.333,13686,3,PG,1,100,9519
1738309579.903797,98477.000,13686,3,PG,1,100,9512
1738309579.943798,98517.000,13703,2,PG,1,100,9508
1738309579.983799,98557.000,13703,2,PG,1,100,9513
1738309580.024300,98597.500,13719,2,PG,1,100,9517
1738309580.064801,98638.000,13719,2,PG,1,100,9513
1738309580.109136,98682.333,13735,3,PG,1,100,9517
1738309580.153470,98726.667,13735,3,PG,1,100,9519
1738309580.197804,98771.000,13735,3,PG,1,100,9511
1738309580.237805,98811.000,13751,2,PG,1,100,9526
1738309580.277806,98851.000,13751,2,PG,1,100,9512
